,Movie,Year,Duration,Rating,Voting,Description
3943,Thaami,1h 55m,Nil,Nil,Nil,
3944,Indrasena,2010,Nil,Nil,Nil,
3945,Enga Pappa,1966,Nil,Nil,Nil,
3946,Rasikkum Seemane,2010,2h 12m,3.7,10,"<div class=""ipc-html-content-inner-div"">The film starts with two ten year old boys, Nandhu (Srikanth) and Aravind (Aravind Akash), arguing heatedly about Gayathri (Navya Nair) and who loves her the most. As the young girl herself remarks, they are all only in seventh standard, and claims she will only fall in love with whoever happens to become a doctor. In the meantime, Gayathri's father is transferred elsewhere, while Nandhu's father commits suicide after killing his mother. Nandhu is taken care of his father's closest friend (R. K. Vidyadharan) and as he cannot afford to help the kid become a doctor, he hatches a plan to become a professional blackmailer. A dozen years later and you've got an adult Nandhu who is a student and professional blackmailer, now operating under the aegis of his guru and his associate (Sathyan). Until Gayathri re-emerges, but for Nandhu's distraught, she has already met Aravind who actually has become a doctor. Realisation comes to Nandhu slowly but when all his plans to stop them falling in love backfire, he decides to take some drastic action, blackmailing her into eloping with him but it never occurs to him to marry her.</div>"
3947,Kanni Paruvathile,1979,2h 15m,6.6,7,
3948,Veerappanin Ghajana,Nil,Nil,Nil,Nil,
3949,Yechchil Iravugal,1982,2h 5m,3.6,6,
3950,Dhairya Lakshmi,1979,Nil,Nil,Nil,
3951,En Uyirinum Melana,2007,2h 20m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Jeeva (Ajith Chander) is a carefree youngster who lives with his parents in Chennai and his father Vijayarangam (S. P. Balasubrahmanyam) is a wealthy businessman who spoils him and loves him more than anything. During a trip in Kodaikanal, Jeeva falls under the spell of Priya (Radhika Menon) and gives her a rose for a television show but she slaps him in front of the camera. Later, Priya moves with her family to a house near Jeeva's house in Chennai. One day, Jeeva finds Priya's brother lying in the street after an accident and he admits him to the hospital thus saving his life. Priya thanks Jeeva for the help, they first become friends and they eventually fall in love with each other. When Priya's father (Ravikumar) comes to know about his daughter's love affair, he decides to find her a groom. Thereafter, Priya and her wealthy maternal uncle Vikram (Ranjith) from London get engaged. Vijayarangam strongly supports his son's love and he plans to arrange his son's wedding on the same day and at the same wedding hall. With the help of his friends and Priya's brother, Jeeva kidnaps Priya the day of the wedding with a caravan. Priya's father who is an intelligence officer and Vikram try to catch the lovers but they fail. Vijayarangam then meets Priya's father and he successfully convinces him to support their love. The lovers finally come to the wedding hall and Vikram surprisingly supports their love. The film ends with Jeeva and Priya getting married with the blessing of their family.</div>"
3952,Paalooti Valartha Kili,1976,Nil,4.6,5,
3953,The Dance of Life,2006,1h 46m,7.0,24,"<div class=""ipc-html-content-inner-div"">Manimekhala, a village girl, can see what others do not and her predictions always come true. However, she sets out to investigate the illusions, which leads her to disturbing truths.</div>"
3954,Minsara Kadhali,2010,1h 35m,Nil,Nil,
3955,Katradhu Mara,2023,2h 5m,Nil,Nil,
3956,Siruthai Siva,2020,Nil,Nil,Nil,
3957,Good Bad Ugly,2h 2m,Nil,Nil,Nil,
3958,Sundaattam,2013,2h 9m,4.4,12,"<div class=""ipc-html-content-inner-div"">The story revolves around Prabha, a young carom board player who uses his talent only for gambling. Things change when he falls in love. Will he be able to win his love amidst the tough challenges?</div>"
3959,Nizhalai Varumo,2021,58m,6.6,123,"<div class=""ipc-html-content-inner-div"">Ananya, a home maker settled down in USA with her husband Santhosh, frequently encounters a shadow of a person. Is it just an elusive imagination or something more close to the reality, but the reality that is only visible to her?</div>"
3960,Star,Nil,Nil,Nil,Nil,
3961,Kozhi koovuthu,2012,2h 21m,7.5,15,"<div class=""ipc-html-content-inner-div"">Murugesan, a hawker, and Thulasi, the daughter of a rich landlord, fall in love with each other. Problems ensue in their love life when Thulasi's uncle Aiyyanar comes to know about their affair.</div>"
3962,Thaai Sollai Thattathey,1961,2h 32m,7.3,22,
3963,Saranalayam,2018,2h 6m,Nil,Nil,
3964,Kanavane Kan Kanda Daivam,1955,Nil,6.4,7,
3965,Marupadiyum Oru Kadhal,2012,2h 20m,Nil,Nil,
3966,Colors,Nil,Nil,Nil,Nil,
3967,Thanthai Sol Mikka Manthiram Illai,2019,2h 1m,Nil,Nil,
3968,Lakshmi Vandhachu,1986,Nil,6.9,13,
3969,Address,Nil,Nil,Nil,Nil,
3970,Nallathambi,1949,3h 19m,8.1,9,
3971,Karuppampatti,2013,Nil,4.2,8,"<div class=""ipc-html-content-inner-div"">Kothai comes to India from France to trace his familial roots. Having learns about his father's bitter past, he decides to bring his entire family back. Will his good intention win their acceptance?</div>"
3972,Seyal,2018,2h 10m,5.0,6,"<div class=""ipc-html-content-inner-div"">A youngster thrashes a gangster following a minor altercation. The gangster, who suffers a loss of face, now wants revenge.</div>"
3973,Sivakavi,1943,3h 32m,8.8,13,"<div class=""ipc-html-content-inner-div"">Based on the life story of Poyyamozhi Pulavar.</div>"
3974,Thanga Thaamaraigal,1991,Nil,Nil,Nil,
3975,Velvi,2008,2h 10m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">The film begins with the murder of the rowdy Arumugam (Rajpal) and the drug addict Mohan (Sakthi) in a similar way. Inspector Rubesh (Agilan) finds that the two victims have met a woman just before their death and they were both law college students. Rubesh then interviews a college professor (Pandu) and he told him about an incident that happened a few months ago. Chandru (Vishwa) fell in love at first sight with Thulasi (Hasini). The engineering student Chandru skipped his classes to meet Thulasi in her law college and posed as an apprentice lawyer, they eventually fell in love with each other. Meanwhile, Pulipandi (Madhan), Arumugam and Mohan formed a small gang: they eve teased the college girls, ragged the boys and smoked ganja in the college. Afterwards, the straightforward Thulasi quarrelled with the three men for not respecting the college rules. One day, they eve teased Thulasi and she made them arrest by the police. Rubesh now knows that Pulipandi is the next victim but Thulasi kills him too. Rubesh finally arrests Thulasi for killing three persons. In court, Thulasi confesses that she was the murderer and didn't feel guilty of killing them. A few months ago, when Thulasi came to know about Chandru's lies, she first felt revolted but then, Thulasi forgave him. They were eventually engaged and the day before their wedding, Thulasi was abducted by the three men and they brutally raped her. A physically and mentally weakened Thulasi returned the next day, but Chandru refused to marry her because she lost her virginity and was ""impure"" for him. Following this incident, her parents committed suicide. Thulasi decided to use her body as a weapon: she seduced the three men and had sex with them to gain their confidence. A vengeful Thulasi killed them cruelly and cut their private parts in due course. Thulasi then abducted Chandru and as he humiliated her for losing her virginity, she raped the virgin Chandru. In court, Thulasi mourns that the women are ill-treated by society for being raped and the judge sentences her to the death penalty.</div>"
3976,Vazhvu En Pakkam,1976,Nil,Nil,Nil,
3977,Shanti Muhurtam 1984,1984,Nil,Nil,Nil,
3978,12-12-1950,2017,2h 9m,5.9,15,"<div class=""ipc-html-content-inner-div"">The movie is a tribute to the film actor Rajinikanth.</div>"
3979,Deekay Untitiled Movie,Nil,Nil,Nil,Nil,
3980,Amma Appa Chellam,2003,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Chellam is from a poor family who has done his parents proud by scoring the highest in the district. Although he is in love with a rich girl, he ignores her and gives priority to his studies and career.</div>"
3981,Kalamegham,1940,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Kalamegam is based on the life of 15th century Tamil poet.</div>"
3982,Iru Malargal,1967,2h 51m,7.1,19,"<div class=""ipc-html-content-inner-div"">The film tells the story of a man who faces upheavals in his life as he is caught between his lady-love and his devoted wife.</div>"
3983,Dhanush 5am Vaguppu,2014,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">It stands as a compelling Tamil feature film that delves into the poignant journey of a young boy in Grade 5, deeply attached to his treasured baby toy.</div>"
3984,Goli Soda 3,Nil,Nil,Nil,Nil,
3985,Untitled Senthil Film,Nil,Nil,Nil,Nil,
3986,Thangamalai Rahasyam,1957,Nil,6.2,34,"<div class=""ipc-html-content-inner-div"">A prince, along with the princess sets out to decipher the secret of golden mountain in order save his parents.</div>"
3987,Naan ungal rasigan 1985,1985,Nil,Nil,Nil,
3988,Uyarnthavargal,1977,Nil,7.1,27,
3989,Aadama Jaichomada,2014,1h 56m,5.4,149,"<div class=""ipc-html-content-inner-div"">A taxi driver is lured into the immoral world of match fixing.</div>"
3990,Kilambitaangayaa Kilambitaangayaa,2018,Nil,Nil,Nil,
3991,Thanga Mama,1985,1h 41m,Nil,Nil,
3992,Untitled Aari Arujunan Film,Nil,Nil,Nil,Nil,
3993,Peiya Kaanom,Nil,Nil,Nil,Nil,
3994,Veera Thirumagan,1962,2h 10m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Tamil language movie directed by A.C. Trilogchander.</div>"
3995,Cinema Paithiyam,1975,Nil,6.2,35,
3996,Login,Nil,Nil,Nil,Nil,
3997,Raamar,2010,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Ramar is a triangular love story between two friends and a girl and the differences between the three that arise due to fidelity. Ramar with a slew of newcomers, a fast, action packed movie. Almost everyone, including the director, is making their debut in this movie which has some mind-blowing action sequences. A quick look at the trailer reveals the risky action sequences and the fast pace of the movie. It is also known that the entire movie has been shot in Cuddalore.</div>"
3998,Pimbilikki Pilappi (Mama Biscothu),Nil,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">A newly wed couple arrives at their castle where two amateur thieves and two friends gets in with their own motives. Things goes messy and everyone's life at greater risk when they got trapped by city's most wanted notorious psycho killer.</div>"
3999,Solla Solla Inikkum,2009,2h 9m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Sathya (Navadeep), son of Vijayakumar, completes his degree and spends time with friends Guru (Abhinay), Sathyan (Sathyan) among others. Life goes uncomplicated until he meets Saara (Anjali). What starts as friendship develops into love. Interestingly, when Sathya proposes to Saara, she turns it down saying that it was only friendship and nothing more than that. Next comes Meghna (Suja). What starts as love between them ends the same. Meghna insists that they part as lovers as it was all time-pass for her. And now, Sathya comes across Radhika (Madhumitha). They become close friends. So is Guru with her. When Sathya decides to inform Radhika his desire to marry her, she throws a bombshell saying that she and Guru are in love with each other. However Guru takes her for a ride. After utilising her, Guru deserts her. Steps in Sathya, who ensures that both gets married. Guru seeks solace with Badrinath (Prakash Raj). A do-gooder and an influential man in the society, he takes sides with Guru. Sathya goes hammer and tongs and ensures that all ends well. Also enters Anu (Mallika Kapoor) in Sathya's life.</div>"
4000,Theeyorkku Anjael,Nil,Nil,Nil,Nil,
4001,Mathiyaal Vell,Nil,Nil,Nil,Nil,
4002,Kadhal FM,2005,2h 5m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">A radio jockey has a fan in the form of a girl who often sends song requests. Both fall in love talking over the phone. When it is time to meet face to face, the boy develops an inferiority complex.</div>"
4003,Sutta Kadhai,2013,1h 45m,4.4,99,"<div class=""ipc-html-content-inner-div"">Two police constables try to solve a murder case in a village.</div>"
4004,Pandi Oliperukki Nilayam,2012,Nil,4.3,7,
4005,Kabadi Kabadi,2001,Nil,6.1,15,
4006,Veera Vamsam,2017,Nil,Nil,Nil,
4007,Anubhavam Pudumai,1967,2h 50m,Nil,Nil,
4008,Aal,2014,1h 51m,5.4,55,"<div class=""ipc-html-content-inner-div"">Aamir comes to Chennai with great hope but he becomes a pawn in the hands of a mysterious man who kidnaps his family and forces him to do what he wants.</div>"
4009,Thumbi Maaya (The Mirage of Dragonfly) -,2020,1h 30m,7.2,12,
4010,Ayyanar Veethi,2017,2h,Nil,Nil,"<div class=""ipc-html-content-inner-div"">The plot of Ayyanar Veethi involves two warring families, one good and one bad, whose enmity goes back by a generation. A family of evil-doers is determined to bring shame to their rival, and try to exploit a rape committed by one of their members for this purpose!</div>"
4011,Thigilodu Vilaiyaadu,2016,Nil,Nil,Nil,
4012,Yamanukku Yaman,1980,Nil,6.0,10,
4013,Karthik Anitha,2009,2h 5m,7.4,5,"<div class=""ipc-html-content-inner-div"">Karthik (Rathan Trivikrama) lives with his widower father Ramachandramoorthy (Kota Srinivasa Rao) who spoils him since the death of his mother. Anitha (Manju) is his neighbour who lives with her parents and little sister in the neighbouring house in the same apartments. Karthik and Anitha are childhood friends and even study at the same college, and their fathers Ramachandramoorthy and Krishnamoorthy (Rajan P. Dev) are like brothers. However, Karthik and Anitha are constantly squabbling like children and playing pranks on each other. But one day, a prank went wrong and Karthik gets suspended from college thus he starts hating Anitha. Thereafter, Anitha's wedding is fixed with the wealthy engineer Gowri Shankar (Abhinay) and Ramachandramoorthy was the one who made both families agree. It was only then that Anitha realises her love for Karthik. Anitha then briefs Karthik about her wedding and expected him to declare his love for her, Karthik, for its part, manifested his happiness making fun of her. Karthik then realises his love for Anitha and tries to apologise to her but she keeps ignoring him. He even wrote ""Karthik loves Anitha"" on a ten rupee note that she had gifted him once for his birthday. When his father finds the currency note one night, he felt guilty at not being able to understand his son's feelings and the next morning, Karthik finds his father dead with the note in his hand. Anitha's family asks Karthik, who was consumed and distressed by the death of his father, to move in with them for a few days. At her home, he is still unable to express his love. Karthik finds a job in Bangalore and has to leave them just a few days before Anitha's wedding, thus he will miss Anitha's marriage. After he left, Anitha finds the currency note and starts to tear up. After thinking for a while, Krishnamoorthy cancels the wedding for the good of his daughter and wants Karthik to be his son-in-law. The film ends with Karthik and Anitha romancing via mobile phones and they are looking forward to their wedding.</div>"
4014,En Mana Vaanil,2002,Nil,4.9,37,"<div class=""ipc-html-content-inner-div"">A poor mute man (Jayasurya) and a rich deaf-mute girl (Kavya Madhavan) fall in love, their love supported by Jayasurya's family but opposed with a vengeance by Kavya Madhavan's family. At the same time, Kavya Madhavan is pursued by other suitors who are only after her money. Jayasurya and Kavya Madhavan flee their hometown together, pursued by Kavya Madhavan's Uncle and Kavya's suitor. Will their love succeed?</div>"
4015,Neethipathi,1983,2h 35m,5.6,8,"<div class=""ipc-html-content-inner-div"">After an innocent man is falsely accused of a crime and convicted, the search for the real perpetrator reveals secrets.</div>"
4016,Idam Porul Aavi,2017,1h 50m,6.3,12,"<div class=""ipc-html-content-inner-div"">A group of youngsters experienced supernatural being in an old building.</div>"
4017,Veetila Raaman Veliyila Krishnan,1983,2h 17m,Nil,Nil,
4018,Screenplay,2023,1h 58m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Based on real life events in the lives of Rahul, Krish and Shareen. While Rahul is trying for a job, he joins a job in a call center and Krish is introduced there. The company will close on the day of joining. But Krish says he has an idea to make easy money. At the same time Shareen who is there comes and joins in that plan and with them. Together, the three call a rich man named Vishwanath, tell him about his illegal activities, blackmail him and demand money. Meanwhile, police are searching for a psycho killer who is committing serial murders in the city. During this time, Krish, Rahul and Shareen, who went to Vishwanath's house to collect money, feel that some unforeseen murders have taken place.</div>"
4019,Manaivi Amaivathellam,2014,1h 46m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Manaivi Amaivadhellam is a 2013 Tamil film, directed by K. Umachithra. The film stars Jeeva, Vinod Kumar, Rajeswari and Master Akash in lead roles. The film had musical score by K. Umachithra. Watch the full movie Manaivi Amaivadhellam online, only on Eros Now.</div>"
4020,Musasi,Nil,Nil,Nil,Nil,
4021,Vasuki,1997,Nil,Nil,Nil,
4022,Velai,1998,Nil,6.6,17,
4023,Meendumoru Kaadal Kathai,1984,Nil,6.7,19,
4024,En Kelvikku Enna Bathil,1978,1h 52m,5.6,34,"<div class=""ipc-html-content-inner-div"">Rajinikanth and Vijayakumar are brothers whose father was duped by their uncle M.N. Nambiar, who borrowed a large sum of money but failed to return it after his business flourished. Their father is left in a miserable condition and the brothers are separated with Vijayakumar growing up to become a coward and Rajinikanth, a criminal. Years later, when Rajinikanth is released from jail, he's determined to avenge his father's dignity and reunite with his brother in this gripping action drama that will leave you thoroughly entertained. Watch the full movie, En Kelvikku Enna Bathil, only on Eros Now.</div>"
4025,Kundukkili,1954,1h 44m,7.3,23,"<div class=""ipc-html-content-inner-div"">A man's betrayal and treachery in order to have a relationship with his friend's wife.</div>"
4026,Nenjathai Killadhe,2008,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">A rich boy Vasanth (Vikranth) indulges in various bizarre experiments to have different experiences. He eats in a five-star hotel without money, wears a woman's outfit in a showroom, goes to jail just for the heck of it, and hires a sex worker and lets her sleep alone. Meanwhile, Anandhi (Bharathi), the daughter of an NRI, stays alone in the city. She is making a documentary film on people belonging to the fringe world. She meets the prison convicts and sex workers for her documentary. Surprisingly, sparks do not fly when Vasan and Anandhi meet. In fact, she develops a sort of aversion towards his behavior but is impressed with him when she hears about his experience with the sex worker. Anandhi cannot believe that a boy can behave like this. According to her, the physical proximity would definitely lead to love or sex between a boy and girl. Vasan denies. He and Anandhi challenge each other and set for an experiment. Vasan emerges the winner, while Anandhi is impressed by Vasan's sensitive behavior and gentle gestures. Anandhi proposes to Vasan, but he refuses to accept her love. When she insists him to accept her, he makes a mockery about her feelings. Anandhi is deeply hurt. She is shocked to see Vasan, who approaches life just as a bunch of experiments to gain varied experiences. She feels cheated and humiliated. Later on, Vasan realizes the dormant love within him and comes back to Anandhi, but she is not ready to accept him. She cannot believe that he can get into real love. Her dejection and conviction are too strong to consider his change. Now, Vasan challenges that Anandhi would make her love him, and she accepts the challenge. The emotional game between them leads to an unpredictable climax.</div>"
4027,1 AM,2017,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">A horror thriller film directed by Rahul, starring Mohan and Sasvatha in the lead roles.</div>"
4028,Sarangadhara,1957,Nil,Nil,Nil,
4029,Mani Makudam,1966,2h 7m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Manimagudam is a 1966 Indian Tamil film directed by S.S.R and produced by D.V.Narayanasamy. The film stars S.S. Rajendran, M.N.Nambiyaar, R.Vijaya Kumari and Jayalaitha in lead roles. The film had musical score by R. Sudarsanam.</div>"
4030,Vaazha Ninaiththaal Vaazhalaam,1978,Nil,Nil,Nil,
4031,Mannar Valaikuda,2018,Nil,Nil,Nil,
4032,Aduthathu,2011,Nil,8.8,19,"<div class=""ipc-html-content-inner-div"">10 people are tricked and kidnapped. They are in a deserted island while some members start to die mysteriously. Truth unravels as they progress through their countable days.</div>"
4033,Anand,1987,2h 14m,5.6,18,
4034,Anjal Petty 520,1969,Nil,6.6,5,"<div class=""ipc-html-content-inner-div"">Prabhu is Chennai Manager in baby food company whose head office at Madurai. He is very talented Manager and his MD assures him promotion to General Manager position.</div>"
4035,Thirudi,1974,Nil,Nil,Nil,
4036,Raja Kumari,1947,2h 14m,7.0,7,"<div class=""ipc-html-content-inner-div"">A humble villager should win the love of a princess.</div>"
4037,Mayil,1981,Nil,Nil,Nil,
4038,Tenali Raman,1956,3h 15m,7.3,34,"<div class=""ipc-html-content-inner-div"">The Deccan Sultans of Berar, Ahmednagar, Bidar, Bijapur and Golconda who the splinters from the erstwhile Bahmani Sultnate now unite with the common purpose to defeat of Krishnadeva Raya(NTR) and the conquest of the prosperous Vijayanagaram. They send their stooge Kanakaraj to assassinate Krishnadeva Raya, but Kanakaraj fails in his mission and is put to death. Then they planned courtesan Krishnasini. Krishnasini enters Vijayanagaram, and with her acclaimed dancing skills, manages to elicit the notice of the King, a great connoisseur of arts and beauty. She then plays her cards cleverly and besotted by her intelligent repartees and smoldering sensuousness, the susceptible King is soon a puppet in her hands. Orders are given that anyone who enters their private chamber would be beheaded and the King spends with Krishnasini's for months. Reports reach the ministers that the Sultans are planning to take advantage of the King's inaccessibility and launch a combined attack on Vijayanagaram. Worried at the state of affairs, Tenali Raman(Sivaji Ganesan) braves the prohibitory order and enters Krishnasini's abode dressed as a woman, but all his appeals to the King seem to fall on deaf ears. Meanwhile Queen Tirumalamba falls seriously sick and the King finally comes out of his daze. Once the King is at his wife's bedside, Tenali Ramakrishna manages to gain entry into Krishnasini's house again, this time under the guise of an omniscient saint who assures her that he would bring the King back to her. He catches her red-handed with her gang of spies, and signals to the hidden soldiers to surround her. Realized that the game is up, Krishnasini prefers a dignified death. Shocked to see her stab herself, Timmarusu remonstrates with her that she has acted in haste, for the King would have certainly forgiven her.</div>"
4039,Dasarathan,1993,Nil,6.5,11,"<div class=""ipc-html-content-inner-div"">Dasarathan, a person who always fights injustice, becomes a police officer against his father's wishes. Their relationship worsens when Dasarathan accidentally kills an innocent man during a riot.</div>"
4040,Kumara Vijayam,1976,Nil,6.9,10,
4041,Annan Oru Koyil,1977,Nil,8.4,37,"<div class=""ipc-html-content-inner-div"">The story is about a young lady killed a man was trying to rape her and later become maniac. And her brother takes her guilty and searched by cops.</div>"
4042,Natchatiram,1980,Nil,5.3,33,"<div class=""ipc-html-content-inner-div"">A story about the rise and fall of a film star.</div>"
4043,Annanukku Jai,1989,Nil,4.8,7,
4044,Makkan,2011,Nil,7.0,9,"<div class=""ipc-html-content-inner-div"">A rough and tough person called as Makkhan in Tamilnadu, India Villages. The Girl who has a dreams about doctor. She meets Makkan. They become Lovers. But the society how the way deny their Love.</div>"
4045,Mandodari,2015,Nil,Nil,Nil,
4046,Onnume Puriyala,2014,Nil,Nil,Nil,
4047,Oru Mugathirai,2017,Nil,5.8,20,"<div class=""ipc-html-content-inner-div"">A psychological thriller that involves psychology, the impact of social networks and more.</div>"
4048,Pudupatti Ponnuthai,1994,Nil,Nil,Nil,
4049,Thirunakkara Perumal,2009,Nil,Nil,Nil,
4050,Kavariman,1979,2h 20m,5.0,25,"<div class=""ipc-html-content-inner-div"">Thyagarajan is an IAS officer. After seeing his wife Kalpana in bed with her extramarital lover Anand, he murders them.</div>"
4051,Panathukkaga,1974,Nil,Nil,Nil,
4052,Ennai Pol Oruvan,1978,Nil,7.3,8,
4053,Aasai Mugam,1965,2h 25m,6.6,20,"<div class=""ipc-html-content-inner-div"">Manohar's life goes haywire when his father's enemies plan on stealing his father's wealth by hiring a lookalike of Manohar to carry out their plan.</div>"
4054,Mahabalipuram,2015,1h 50m,4.0,53,"<div class=""ipc-html-content-inner-div"">A porn film shatters the lives of a group of friends.</div>"
4055,Untitled Vikram Film,Nil,Nil,Nil,Nil,
4056,Thangamana Thangachi,1991,2h,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Vijay, a taxi driver, seeks revenge against a corrupt politician's son who raped and murdered his sister, Seetha, on the day of her wedding.</div>"
4057,Akku,2008,1h 30m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">Siva (Ajay) is an IT professional who grew up in an orphanage and he falls in love with Bhanu (Sriji). Her brother (Rakshai) is a dreaded terrorist leader planning to bomb Chennai city. Bhanu elopes with Siva as she is afraid that her brother would not permit their marriage and they arrive in a forest but they are soon caught by Bhanu's brother and the members of the terrorist organisation in the middle of the night. Bhanu's brother beats Siva up, takes him to the heart of the city, puts a bomb in his shoe and abandons him. Bhanu's brother tells him to keep running to stay alive. If Siva stops running or slows down the bomb in his shoe would explode killing him and also triggering a chain of explosions. The terrorist leader then calls the police and he sends them a MMS to track down Siva. He also challenges them to save Siva and Chennai city. A police team is pressed into service to defuse the bomb and save Siva and the city. The assistant commissioner of police Aadhi Narayanan (Riyaz Khan), the bomb squad officer Anu (Anu Haasan) and the doctor Devi (Jayashree) start following Siva in cars. The incident receives heavy media attention and it is broadcast live by all the news channels. The dawn is coming with the sun and Siva is exhausted. Meanwhile, Bhanu is locked in a room by her brother in his place and calls the police to save her. Devi ensures that he does not collapse from exhaustion, she provides him with energy tablets and oxygen supply. Anu even scans his shoe for the bomb and finds uranium in his shoe. The terrorist leader orders the members of his organisation to stop Siva from running and they try to kill him. The police manage to kill them but one terrorist shoots with a RPG and the car of Aadhi Narayanan exploded. Aadhi Narayanan is severely injured after the attack. The police catch the terrorist and start torturing him to quickly obtain information from him. Meanwhile, the special force eventually finds out where Bhanu has been kidnapped and saves her. The special force and the terrorist organisation begin to exchange fire in the area. The terrorists including Bhanu's brother are killed and the special force won the battle. Anu decides to defuse the bomb and leads Siva in a remote place where the police set up a treadmill for him. A tired Siva starts running on the treadmill and Anu who wears a bomb suit orders the police to move away from the place. Siva is hooked by a crane and Anu orders him to jump, at that moment she puts an adhesive surface under his shoes and the crane lifted him at an unbelievable speed. The shoe soles stick to the adhesive surface tearing up his shoes and the bomb exploded without causing any casualties. At the hospital, Anu meets an exhausted Siva and his lover Bhanu, and Anu congratulates him for his braveness.</div>"
4058,Neerkumizhi,1965,2h 9m,7.9,66,"<div class=""ipc-html-content-inner-div"">Cancer affected young man , Leg Fractured Man Sharing their Flashbacks in Hospital. Nagesh falls in love to Doctor &amp; both knows that he wont have longer life.</div>"
4059,Nichaya Thamboolam,1961,Nil,6.4,8,
4060,Suryagandhi,1973,2h 5m,6.8,15,"<div class=""ipc-html-content-inner-div"">Mohan, the eldest son of a middle-class family, believes that he should be superior in everything. He falls in love with Radha and they get married, but issues arise when his wife is forced to go out to work as his job doesn't pay enough. The fact that his wife is more successful strains their relationship and he ends up doing odd jobs to earn more money. Ignorant of her husband's jealousy, Radha decides to conduct Mohan's sister Suseela's wedding, but with Mohan adamant that he must do things on his own, will he and Radha be able to set their differences aside for their family? Watch the full movie, Suryagandhi, only on Eros Now.</div>"
4061,Unakkaga Oru Kavithai,2010,2h 5m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">In Pollachi, Vinoth (Vinoth Kumaran) is a good-for-nothing youngster who often gets into trouble, and his parents hate him for being irresponsible. For his studies, Vinoth joins a college in Chennai. He slowly becomes a hard-working student, and he even donates one of his kidneys to an ill girl. His college mate Nandhini (Risha) falls in love with him but her father Jairam (Srinivasan), who is a greedy man, wants her to marry her wicked relative Sunil (K. N. Ramesh). In the meantime, the lecherous college student Rocky (Balaji) falls under the spell of Nandhini and wants to marry her. Nandhini finally declares her love to Vinoth, and he accepts. Meanwhile, Jairam kicks Sunil out his house. He then makes a deal with Rocky and promises him to give his daughter in exchange for money. When Jairam comes to know about her love affair, he does not allow her daughter Nandhini to go to college and locks her in a room. Vinoth enters her house to save her, and during the fight, he is stabbed by Rocky. At the hospital, the doctor announces that Vinoth's remaining kidney is heavily damaged. The film ends with Vinoth dying in the hospital bed and Nandhini, his parents and his friends mourning his death.</div>"
4062,MGR Nagaril,1991,Nil,Nil,Nil,
4063,Imai,2017,1h 37m,5.3,11,
4064,Mun Andhi Saaral,2014,Nil,Nil,Nil,
4065,Vellai Ulagam,1h 55m,Nil,Nil,Nil,
4066,Vaaraayo Vennilaave,2021,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">A youngster who is in a city that's new to him falls for a beautiful girl and things get very interesting when he finds some mysterious things about her.</div>"
4067,Veerapuram 220,2021,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">The local area guys in veerapuram finding the Route cause of unidentified accidents in their home town. This story is based on true incident</div>"
4068,No More Tears Sister,2005,1h 18m,6.7,30,
4069,Paatti,2013,1h 54m,Nil,Nil,"<div class=""ipc-html-content-inner-div"">The film is all about Indian classical relationship between a grandson and a grandmother. The first frame opens with the matured grandson comes out of his house and heading to pay homage to his grandmother on her death day. On the way, he remembers the memories of his childhood with his grandmother and expresses how he misses her love and affections.</div>"
4070,Pilot Premnath,1978,Nil,5.5,24,
4071,Kayiru,2020,2h 8m,7.0,8,
4072,Poi Indri Amaiyathu Ulagu,2023,Nil,Nil,Nil,
4073,Chakravyuham,1992,Nil,8.0,13,"<div class=""ipc-html-content-inner-div"">Innocent girl (Gowthamy) who wanted to pursue a career in movies gets killed by antagonist. Archana with the help of investigation officer (played by Suman) disguises herself as a model to trap the killer.</div>"
4074,Indhiran,2002,2h 56m,Nil,Nil,
4075,Devi Chowdhurani: Bandit Queen of Bengal,Nil,Nil,Nil,Nil,"<div class=""ipc-html-content-inner-div"">The first woman freedom fighter of India against the British Colonial Rulers.</div>"
4076,Manampole Mangalyam,1953,Nil,Nil,Nil,
4077,Suzhal,Nil,Nil,Nil,Nil,
4078,Jhoot,2004,Nil,3.8,42,"<div class=""ipc-html-content-inner-div"">Eashwaran, a man from a small village, moves to his brother's house in Chennai with his ailing father. However, his life turns upside-down when his brother incurs the wrath of a local thug.</div>"
